No.,Symbol,Company Name,Market Cap,Stock Price,Revenue,Rev. Growth,Net Income,Sector,Industry,Net Cash,FCF,Volume
72,CHA,Chagee Holdings Limited,3.20B,17.23,1.90B,50.77%,137.99M,Consumer Discretionary,Restaurants,1.13B,291.37M,"778,276"
156,CAVA,"CAVA Group, Inc.",7.33B,63.18,1.08B,28.21%,140.66M,Consumer Discretionary,Restaurants,-48.05M,47.38M,"1,586,230"
188,WING,Wingstop Inc.,7.31B,261.69,669.74M,22.74%,171.51M,Consumer Discretionary,Restaurants,-1.04B,55.80M,"231,519"
186,RIG,Transocean Ltd.,3.22B,3.415,3.79B,23.26%,-1.50B,Energy,Oil & Gas Drilling,-6.17B,383.00M,"9,322,866"
201,EAT,"Brinker International, Inc.",6.53B,146.64,5.38B,21.95%,383.10M,Consumer Discretionary,Restaurants,-1.67B,413.70M,"666,096"
190,ESE,ESCO Technologies Inc.,5.32B,206.08,1.12B,22.39%,114.83M,Technology,Scientific & Technical Instruments,-512.46M,163.27M,"40,089"
189,WSBC,"WesBanco, Inc.",2.95B,30.78,690.81M,22.65%,125.20M,Financials,Banks - Regional,-1.06B,187.27M,"89,348"
58,AMBA,"Ambarella, Inc.",3.35B,78.54,348.05M,57.91%,-88.63M,Technology,Semiconductor Equipment & Materials,257.74M,36.98M,"225,565"
90,NVMI,Nova Ltd.,8.85B,301,807.09M,43.69%,234.87M,Technology,Semiconductor Equipment & Materials,635.08M,206.08M,"136,317"
157,CAMT,Camtek Ltd.,3.96B,86.54,471.59M,27.88%,133.76M,Technology,Semiconductor Equipment & Materials,323.18M,-,"136,021"
294,ONTO,Onto Innovation Inc.,5.87B,119.71,1.04B,15.51%,199.87M,Technology,Semiconductor Equipment & Materials,881.53M,238.49M,"753,279"
194,TRNO,Terreno Realty Corporation,6.02B,58.3,426.00M,22.17%,253.06M,Real Estate,REIT - Industrial,-617.82M,-,"210,452"
49,SITM,SiTime Corporation,7.37B,283.38,255.62M,65.12%,-82.18M,Technology,Semiconductors,791.42M,-13.27M,"235,449"
125,MTSI,"MACOM Technology Solutions Holdings, Inc.",9.67B,129.87,906.80M,33.50%,-69.92M,Technology,Semiconductors,166.52M,171.79M,"154,627"
147,SLAB,Silicon Laboratories Inc.,4.38B,133.37,703.20M,29.66%,-104.61M,Technology,Semiconductors,415.54M,75.07M,"32,091"
198,USLM,"United States Lime & Minerals, Inc.",3.66B,128.2,352.26M,21.97%,125.29M,Materials,Building Materials,315.43M,106.80M,"15,580"
193,SMTC,Semtech Corporation,5.42B,62.44,996.48M,22.22%,23.84M,Technology,Semiconductors,-377.39M,127.64M,"345,394"
200,ENVA,"Enova International, Inc.",2.96B,118.16,1.36B,21.96%,256.20M,Financials,Credit Services,-3.93B,1.62B,"370,006"
54,AG,First Majestic Silver Corp.,5.26B,10.42,826.60M,61.34%,14.74M,Materials,Silver,232.04M,104.77M,"11,482,191"
11,SOUN,"SoundHound AI, Inc.",5.75B,14.1,131.45M,136.97%,-225.44M,Technology,Software - Application,225.95M,-112.78M,"27,328,052"
17,ARX,Accelerant Holdings,3.71B,16.85,690.00M,112.83%,44.40M,Technology,Software - Application,1.33B,-,"270,454"
204,AKO.A,Embotelladora Andina S.A.,3.55B,19.3,3.60B,21.71%,271.28M,Consumer Staples,Beverages - Non-Alcoholic,-973.93M,117.27M,246
205,AKO.B,Embotelladora Andina S.A.,3.55B,24.84,3.60B,21.71%,271.28M,Consumer Staples,Beverages - Non-Alcoholic,-973.93M,117.27M,980
26,CHYM,"Chime Financial, Inc.",8.59B,23.1,1.94B,92.70%,-935.78M,Technology,Software - Application,1.12B,-12.26M,"1,328,507"
207,PNFP,"Pinnacle Financial Partners, Inc.",7.22B,93.87,1.81B,21.56%,581.71M,Financials,Banks - Regional,621.99M,772.58M,"510,718"
80,DAVE,Dave Inc.,2.80B,207.75,433.07M,47.97%,55.12M,Technology,Software - Application,27.47M,191.95M,"224,316"
209,NNI,"Nelnet, Inc.",4.47B,123.67,1.56B,21.39%,329.57M,Financials,Credit Services,-7.68B,496.37M,"13,360"
113,CWAN,"Clearwater Analytics Holdings, Inc.",5.75B,19.12,551.09M,36.68%,406.36M,Technology,Software - Application,-852.95M,85.17M,"981,429"
211,AVAL,Grupo Aval Acciones y Valores S.A.,3.95B,3.24,3.20B,21.28%,380.42M,Financials,Banks - Regional,-6.65B,-3.04B,"52,536"
212,COMP,"Compass, Inc.",4.87B,9.26,6.29B,21.23%,-53.50M,Real Estate,Real Estate Services,-369.40M,147.00M,"1,305,065"
116,VIA,"Via Transportation, Inc.",4.28B,53.77,380.77M,35.67%,-77.65M,Technology,Software - Application,-10.23M,-59.46M,"194,222"
144,LIF,"Life360, Inc.",7.95B,99.62,427.40M,30.04%,27.57M,Technology,Software - Application,122.87M,42.15M,"224,083"
148,ALKT,"Alkami Technology, Inc.",2.68B,25.73,385.46M,29.63%,-38.49M,Technology,Software - Application,-316.19M,11.25M,"537,156"
216,BGC,"BGC Group, Inc.",4.62B,9.74,2.47B,20.94%,146.62M,Financials,Capital Markets,-1.11B,384.89M,"443,842"
217,VCTR,"Victory Capital Holdings, Inc.",4.55B,68.19,1.03B,20.90%,264.62M,Financials,Asset Management,-905.81M,263.06M,"168,166"
154,GRND,Grindr Inc.,3.00B,15.62,385.10M,28.35%,-55.51M,Technology,Software - Application,-166.81M,119.08M,"337,347"
219,CRK,"Comstock Resources, Inc.",4.82B,16.45,1.65B,20.80%,-72.56M,Energy,Oil & Gas Exploration & Production,-3.08B,-264.06M,"558,642"
168,BULL,Webull Corporation,6.26B,12.93,457.10M,26.52%,77.55M,Technology,Software - Application,1.55B,392.80M,"4,630,262"
195,BRZE,"Braze, Inc.",3.43B,30.86,654.62M,22.16%,-108.79M,Technology,Software - Application,279.18M,30.93M,"804,359"
222,SKYW,"SkyWest, Inc.",4.17B,103.24,3.84B,20.45%,407.91M,Industrials,Airlines,-1.85B,253.42M,"125,643"
223,OTF,Blue Owl Technology Finance Corp.,7.08B,15.15,839.89M,20.40%,499.86M,Financials,Asset Management,-4.58B,-,"390,244"
224,HMY,Harmony Gold Mining Company Limited,9.34B,14.81,4.16B,20.39%,810.06M,Materials,Gold,612.28M,621.61M,"3,774,554"
199,FROG,JFrog Ltd.,5.64B,48.28,474.76M,21.97%,-86.32M,Technology,Software - Application,597.86M,138.79M,"630,019"
203,IDCC,"InterDigital, Inc.",8.27B,320.33,892.58M,21.83%,463.47M,Technology,Software - Application,449.38M,334.87M,"59,782"
227,DFH,"Dream Finders Homes, Inc.",2.62B,28.24,4.71B,20.19%,297.89M,Consumer Discretionary,Residential Construction,-1.37B,-46.64M,"109,155"
228,XMTR,"Xometry, Inc.",2.63B,51.85,603.76M,20.19%,-61.60M,Industrials,Specialty Industrial Machinery,-109.13M,-20.48M,"134,822"
229,APLS,"Apellis Pharmaceuticals, Inc.",3.02B,23.91,754.65M,20.02%,-228.17M,Healthcare,Biotechnology,-94.99M,4.41M,"484,194"
206,CVLT,"Commvault Systems, Inc.",8.38B,188.44,1.05B,21.62%,81.08M,Technology,Software - Application,332.32M,189.60M,"145,453"
220,SPSC,"SPS Commerce, Inc.",4.05B,106.75,703.54M,20.51%,82.95M,Technology,Software - Application,96.81M,141.93M,"72,101"
232,RRC,Range Resources Corporation,8.31B,34.91,2.80B,19.93%,478.65M,Energy,Oil & Gas Exploration & Production,-1.38B,506.19M,"888,576"
233,VCYT,"Veracyte, Inc.",2.50B,31.81,479.13M,19.91%,26.34M,Healthcare,Diagnostics & Research,270.07M,83.97M,"70,393"
234,AIR,AAR Corp.,2.70B,76.13,2.78B,19.91%,12.50M,Industrials,Aerospace & Defense,-963.40M,1.40M,"117,958"
226,KC,Kingsoft Cloud Holdings Limited,4.45B,16.01,1.18B,20.27%,-282.74M,Technology,Software - Application,-834.86M,-257.44M,"1,318,714"
236,CCU,Compañía Cervecerías Unidas S.A.,2.25B,12.24,3.25B,19.82%,161.33M,Consumer Staples,Beverages - Brewers,-751.74M,173.77M,"23,705"
237,WULF,TeraWulf Inc.,4.43B,10.85,144.09M,19.82%,-131.72M,Financials,Capital Markets,-410.89M,-449.96M,"13,080,576"
231,LYFT,"Lyft, Inc.",8.13B,20,6.11B,19.94%,92.19M,Technology,Software - Application,982.94M,992.97M,"12,647,339"
235,YOU,"Clear Secure, Inc.",5.02B,37.75,835.53M,19.85%,176.88M,Technology,Software - Application,490.72M,305.14M,"520,979"
238,FRSH,Freshworks Inc.,3.63B,12.47,782.10M,19.78%,-54.90M,Technology,Software - Application,890.17M,192.46M,"630,476"
241,KNTK,Kinetik Holdings Inc.,6.88B,42.49,1.65B,19.71%,44.52M,Energy,Oil & Gas Midstream,-4.00B,296.00M,"93,560"
242,CHRD,Chord Energy Corporation,6.05B,106.41,4.97B,19.70%,265.66M,Energy,Oil & Gas Exploration & Production,-916.00M,961.63M,"437,744"
244,APPF,"AppFolio, Inc.",9.84B,274.35,862.67M,19.47%,203.11M,Technology,Software - Application,87.92M,184.38M,"47,328"
246,SRAD,Sportradar Group AG,8.94B,29.89,1.40B,19.37%,128.74M,Technology,Software - Application,304.50M,466.34M,"349,838"
245,AA,Alcoa Corporation,8.58B,33.14,12.78B,19.39%,989.00M,Materials,Aluminum,-1.14B,582.00M,"2,002,827"
250,WK,Workiva Inc.,4.41B,78.73,806.98M,19.02%,-66.58M,Technology,Software - Application,20.00M,103.02M,"110,798"
247,FRPT,"Freshpet, Inc.",2.57B,52.78,1.04B,19.30%,33.68M,Consumer Staples,Packaged Foods,-251.47M,-7.07M,"575,209"
248,GEF,"Greif, Inc.",2.84B,59.84,5.43B,19.22%,190.00M,Consumer Discretionary,Packaging & Containers,-2.65B,334.90M,"50,590"
249,GEF.B,"Greif, Inc.",2.95B,61.53,5.43B,19.22%,190.00M,Consumer Discretionary,Packaging & Containers,-2.65B,334.90M,"5,540"
257,AGYS,"Agilysys, Inc.",2.99B,107.4,288.79M,17.91%,14.01M,Technology,Software - Application,21.66M,47.14M,"40,384"
265,ESTC,Elastic N.V.,9.20B,86.55,1.55B,17.43%,-83.49M,Technology,Software - Application,900.17M,314.00M,"312,782"
252,VAL,Valaris Limited,3.77B,52.99,2.46B,18.78%,275.50M,Energy,Oil & Gas Equipment & Services,-666.40M,232.50M,"153,856"
270,INTA,"Intapp, Inc.",3.63B,44.26,504.12M,17.10%,-18.22M,Technology,Software - Application,290.52M,121.86M,"213,918"
254,PJT,PJT Partners Inc.,7.40B,179.85,1.54B,18.48%,160.37M,Financials,Capital Markets,-200.04M,474.82M,"23,806"
255,SFBS,"ServisFirst Bancshares, Inc.",4.49B,82.29,488.39M,18.16%,249.67M,Financials,Banks - Regional,-1.20B,261.14M,"35,053"
280,DV,"DoubleVerify Holdings, Inc.",2.10B,12.86,714.26M,16.54%,52.72M,Technology,Software - Application,113.16M,149.88M,"1,035,874"
300,VERX,"Vertex, Inc.",3.90B,24.43,710.51M,15.00%,-50.41M,Technology,Software - Application,-67.51M,64.41M,"455,541"
75,PAY,"Paymentus Holdings, Inc.",4.10B,32.77,1.04B,49.35%,56.10M,Technology,Software - Infrastructure,258.38M,116.24M,"149,584"
95,NN,NextNav Inc.,2.28B,17.16,6.26M,42.80%,-167.65M,Technology,Software - Infrastructure,-86.55M,-44.66M,"1,201,826"
99,ZETA,Zeta Global Holdings Corp.,4.79B,20.12,1.16B,40.60%,-36.55M,Technology,Software - Infrastructure,156.62M,136.69M,"1,914,275"
119,RELY,"Remitly Global, Inc.",3.51B,17.02,1.46B,35.12%,14.08M,Technology,Software - Infrastructure,483.53M,346.01M,"1,519,745"
128,KVYO,"Klaviyo, Inc.",9.52B,31.75,1.08B,33.17%,-66.69M,Technology,Software - Infrastructure,836.33M,160.32M,"806,159"
150,GTLB,GitLab Inc.,8.36B,50.13,857.95M,28.97%,-9.09M,Technology,Software - Infrastructure,1.16B,35.49M,"1,903,769"
172,ODD,Oddity Tech Ltd.,3.54B,63.34,751.85M,26.12%,110.13M,Technology,Software - Infrastructure,791.91M,129.99M,"63,299"
177,S,"SentinelOne, Inc.",6.02B,18.04,907.38M,25.39%,-429.36M,Technology,Software - Infrastructure,799.28M,39.83M,"1,915,983"
266,NMRK,"Newmark Group, Inc.",4.58B,18.99,2.98B,17.28%,75.26M,Real Estate,Real Estate Services,-2.56B,-268.96M,"249,820"
181,OS,"OneStream, Inc.",4.51B,18.59,545.51M,24.72%,-231.20M,Technology,Software - Infrastructure,633.33M,91.17M,"493,866"
268,RNST,Renasant Corporation,3.55B,37.32,735.58M,17.23%,159.74M,Financials,Banks - Regional,420.71M,120.44M,"87,513"
182,PGY,Pagaya Technologies Ltd.,3.15B,41.14,1.15B,24.59%,-282.36M,Technology,Software - Infrastructure,-559.21M,115.51M,"1,350,453"
183,AVPT,"AvePoint, Inc.",3.30B,15.59,373.07M,24.41%,-8.43M,Technology,Software - Infrastructure,411.35M,81.12M,"633,756"
184,FOUR,"Shift4 Payments, Inc.",7.59B,85.79,3.61B,23.86%,207.70M,Technology,Software - Infrastructure,-739.30M,397.60M,"315,940"
272,TGLS,Tecnoglass Inc.,3.27B,69.5,955.73M,16.89%,182.82M,Materials,Building Materials,13.14M,55.03M,"156,622"
273,SKY,"Champion Homes, Inc.",4.30B,76.06,2.56B,16.87%,217.31M,Consumer Discretionary,Residential Construction,477.54M,182.82M,"385,386"
274,BUSE,First Busey Corporation,2.16B,24.24,498.53M,16.77%,77.37M,Financials,Banks - Regional,274.38M,162.25M,"196,640"
275,BOOT,"Boot Barn Holdings, Inc.",5.41B,177.17,1.99B,16.70%,195.44M,Consumer Discretionary,Apparel Retail,-501.83M,27.39M,"90,230"
276,FSV,FirstService Corporation,9.31B,203.58,5.43B,16.68%,141.91M,Real Estate,Real Estate Services,-1.35B,246.40M,"29,107"
277,CIGI,Colliers International Group Inc.,8.46B,166.06,5.17B,16.63%,112.09M,Real Estate,Real Estate Services,-2.08B,215.71M,"34,258"
278,CVCO,"Cavco Industries, Inc.",4.32B,545.86,2.09B,16.60%,188.25M,Consumer Discretionary,Residential Construction,324.63M,161.04M,"175,654"
279,RITM,Rithm Capital Corp.,6.53B,12.32,3.67B,16.60%,680.67M,Real Estate,REIT - Mortgage,-30.16B,-,"1,144,117"
187,CFLT,"Confluent, Inc.",6.73B,19.51,1.06B,23.02%,-311.72M,Technology,Software - Infrastructure,832.87M,38.56M,"1,935,887"
197,DLO,DLocal Limited,4.37B,14.85,863.48M,22.02%,145.90M,Technology,Software - Infrastructure,509.81M,116.37M,"1,940,589"
282,FFIN,"First Financial Bankshares, Inc.",4.97B,34.94,578.40M,16.40%,245.63M,Financials,Banks - Regional,227.80M,290.77M,"84,748"
221,CLBT,Cellebrite DI Ltd.,4.26B,17.41,436.73M,20.48%,-150.95M,Technology,Software - Infrastructure,535.51M,150.13M,"416,280"
284,BRBR,"BellRing Brands, Inc.",4.62B,36.69,2.22B,16.27%,228.30M,Consumer Staples,Packaged Foods,-969.10M,126.70M,"710,629"
285,MTDR,Matador Resources Company,5.94B,47.73,3.50B,16.16%,853.13M,Energy,Oil & Gas Exploration & Production,-3.37B,441.06M,"747,304"
286,SARO,"StandardAero, Inc.",9.10B,27.2,5.62B,16.09%,133.04M,Industrials,Aerospace & Defense,-2.47B,-31.72M,"356,379"
287,JHG,Janus Henderson Group plc,6.82B,43.74,2.59B,16.06%,409.70M,Financials,Asset Management,1.96B,603.50M,"215,058"
288,IONS,"Ionis Pharmaceuticals, Inc.",9.76B,61.25,944.05M,16.05%,-268.22M,Healthcare,Biotechnology,308.97M,-290.00M,"489,922"
239,STNE,StoneCo Ltd.,5.01B,18.72,2.53B,19.78%,-232.60M,Technology,Software - Infrastructure,-1.57B,-77.06M,"1,829,546"
263,MQ,"Marqeta, Inc.",2.60B,5.8,553.22M,17.47%,-64.67M,Technology,Software - Infrastructure,814.85M,52.74M,"570,814"
291,AWI,"Armstrong World Industries, Inc.",8.42B,194.67,1.56B,15.59%,296.00M,Industrials,Building Products & Equipment,-484.60M,218.50M,"26,052"
305,PAGS,PagSeguro Digital Ltd.,3.10B,10.63,3.54B,14.53%,402.30M,Technology,Software - Infrastructure,-370.48M,206.44M,"5,396,082"
293,GCMG,GCM Grosvenor Inc.,2.51B,12.86,533.10M,15.56%,27.67M,Financials,Asset Management,-358.92M,172.08M,"134,887"
308,AI,"C3.ai, Inc.",2.37B,17.21,372.10M,14.34%,-342.64M,Technology,Software - Infrastructure,649.33M,-85.86M,"4,306,948"
310,VRNS,"Varonis Systems, Inc.",6.35B,56.7,595.17M,14.29%,-102.93M,Technology,Software - Infrastructure,417.99M,124.81M,"744,787"
296,CENX,Century Aluminum Company,2.42B,25.95,2.43B,15.38%,111.40M,Materials,Aluminum,-448.10M,-21.80M,"454,234"
314,EVCM,EverCommerce Inc.,2.17B,11.95,710.68M,14.16%,-20.95M,Technology,Software - Infrastructure,-394.53M,132.19M,"54,498"
48,FA,First Advantage Corporation,2.73B,15.68,1.25B,65.34%,-150.11M,Industrials,Specialty Business Services,-1.96B,12.17M,"157,834"
69,AMTM,"Amentum Holdings, Inc.",5.53B,22.73,12.68B,52.54%,52.00M,Industrials,Specialty Business Services,-3.75B,138.00M,"536,671"
83,CBZ,"CBIZ, Inc.",2.88B,54.37,2.42B,46.50%,109.08M,Industrials,Specialty Business Services,-1.93B,105.07M,"109,024"
214,MNSO,MINISO Group Holding Limited,7.52B,24.6,2.60B,21.03%,328.53M,Consumer Discretionary,Specialty Retail,-404.36M,139.74M,"114,371"
302,GSAT,"Globalstar, Inc.",4.00B,31.55,260.66M,14.85%,-49.01M,Communication Services,Telecom Services,-234.69M,134.10M,"408,001"
303,BXSL,Blackstone Secured Lending Fund,6.34B,27.52,1.40B,14.70%,619.01M,Financials,Asset Management,-6.82B,-,"1,125,184"
256,MMYT,MakeMyTrip Limited,9.18B,96.45,992.66M,18.13%,100.00M,Consumer Discretionary,Travel Services,-559.75M,150.33M,"493,547"
84,RXO,"RXO, Inc.",2.80B,17.06,5.56B,46.41%,-308.00M,Industrials,Trucking,-661.00M,-45.00M,"372,456"
306,NBTB,NBT Bancorp Inc.,2.21B,42.2,591.28M,14.42%,133.36M,Financials,Banks - Regional,130.38M,175.82M,"34,534"
307,ACAD,ACADIA Pharmaceuticals Inc.,4.04B,23.94,1.02B,14.41%,222.16M,Healthcare,Biotechnology,705.70M,187.09M,"440,094"
44,UEC,Uranium Energy Corp.,5.56B,12.52,66.84M,70.62%,-75.72M,Energy,Uranium,68.96M,-59.16M,"8,528,519"
289,OGE,OGE Energy Corp.,8.88B,44.08,3.22B,16.01%,490.80M,Utilities,Utilities - Regulated Electric,-5.90B,-232.70M,"222,284"
215,NJR,New Jersey Resources Corporation,4.71B,46.86,2.10B,21.02%,411.68M,Utilities,Utilities - Regulated Gas,-3.56B,-117.61M,"118,453"
251,CPK,Chesapeake Utilities Corporation,2.93B,124.62,866.70M,18.91%,129.00M,Utilities,Utilities - Regulated Gas,-1.53B,-200.00M,"16,293"
312,SMPL,The Simply Good Foods Company,2.71B,26.92,1.46B,14.23%,145.26M,Consumer Staples,Packaged Foods,-206.73M,175.62M,"411,444"
103,ENLT,Enlight Renewable Energy Ltd,3.76B,29.02,428.72M,39.54%,115.22M,Utilities,Utilities - Renewable,-3.53B,-902.33M,"5,549"
109,RNW,ReNew Energy Global Plc,2.80B,7.72,1.32B,37.94%,101.39M,Utilities,Utilities - Renewable,-7.59B,80.32M,"111,968"
304,CWEN,"Clearway Energy, Inc.",3.32B,28.45,1.43B,14.65%,76.00M,Utilities,Utilities - Renewable,-9.10B,562.00M,"234,154"
225,CWST,"Casella Waste Systems, Inc.",5.66B,89.22,1.72B,20.35%,11.05M,Industrials,Waste Management,-1.02B,91.02M,"153,069"
317,OPEN,Opendoor Technologies Inc.,6.70B,9.11,5.18B,14.07%,-305.00M,Real Estate,Real Estate Services,-1.40B,511.00M,"142,120,521"
318,PI,"Impinj, Inc.",5.53B,190,358.94M,13.96%,633.00K,Technology,Semiconductors,-99.20M,27.46M,"44,230"
319,STC,Stewart Information Services Corporation,2.04B,72.76,2.67B,13.92%,87.84M,Financials,Insurance - Property & Casualty,-405.09M,119.45M,"13,859"
320,FIVE,"Five Below, Inc.",8.15B,147.82,4.23B,13.88%,273.05M,Consumer Discretionary,Specialty Retail,-1.35B,345.16M,"417,835"
321,OR,OR Royalties Inc.,6.93B,35.48,214.00M,13.88%,78.51M,Materials,Gold,56.68M,181.78M,"455,447"
322,GRBK,"Green Brick Partners, Inc.",3.15B,72.23,2.14B,13.87%,347.06M,Consumer Discretionary,Residential Construction,-186.81M,162.75M,"29,772"
323,SAND,Sandstorm Gold Ltd.,3.57B,11.9,193.59M,13.87%,34.42M,Materials,Gold,-300.23M,143.00M,"2,095,009"
324,LFST,"LifeStance Health Group, Inc.",2.04B,5.25,1.32B,13.86%,-16.15M,Healthcare,Medical Care Facilities,-284.83M,120.07M,"451,337"
325,CNK,"Cinemark Holdings, Inc.",3.23B,28.47,3.22B,13.80%,288.80M,Communication Services,Entertainment,-2.52B,304.80M,"734,946"
326,AKR,Acadia Realty Trust,2.74B,20.13,391.85M,13.78%,19.22M,Real Estate,REIT - Retail,-1.81B,-,"422,131"
327,TMHC,Taylor Morrison Home Corporation,6.68B,67.63,8.40B,13.77%,900.62M,Consumer Discretionary,Residential Construction,-2.04B,490.33M,"237,316"
328,PCTY,Paylocity Holding Corporation,9.18B,166.35,1.60B,13.74%,227.13M,Technology,Software - Application,180.18M,405.15M,"144,941"
329,APPN,Appian Corporation,2.29B,30.88,657.80M,13.67%,-17.24M,Technology,Software - Infrastructure,-123.73M,45.99M,"125,162"
330,EDU,New Oriental Education & Technology Group Inc.,8.62B,52.73,4.90B,13.60%,371.72M,Consumer Staples,Education & Training Services,3.77B,896.59M,"328,091"
331,AX,"Axos Financial, Inc.",4.98B,88.19,1.20B,13.59%,432.91M,Financials,Banks - Regional,1.31B,386.64M,"69,869"
332,OGS,"ONE Gas, Inc.",4.54B,75.64,2.33B,13.43%,247.74M,Utilities,Utilities - Regulated Gas,-3.25B,-141.57M,"45,692"
333,BKU,"BankUnited, Inc.",2.85B,37.87,999.76M,13.39%,253.51M,Financials,Banks - Regional,-2.16B,365.58M,"194,969"
334,BILL,"BILL Holdings, Inc.",5.18B,50.97,1.46B,13.36%,23.80M,Technology,Software - Application,432.71M,346.31M,"892,733"
335,QTWO,"Q2 Holdings, Inc.",5.15B,82.47,742.95M,13.34%,4.88M,Technology,Software - Application,-7.25M,172.53M,"279,285"
336,DOCN,"DigitalOcean Holdings, Inc.",3.29B,36.18,832.81M,13.29%,126.45M,Technology,Software - Infrastructure,-1.38B,103.44M,"773,254"
337,NCNO,"nCino, Inc.",3.50B,30.19,573.12M,13.24%,-33.56M,Technology,Software - Application,-146.42M,59.77M,"774,584"
338,ADC,Agree Realty Corporation,8.02B,72.36,659.75M,13.16%,177.93M,Real Estate,REIT - Retail,-3.24B,-,"153,564"
339,SHAK,Shake Shack Inc.,4.22B,98.78,1.32B,13.13%,19.89M,Consumer Discretionary,Restaurants,-511.02M,46.22M,"278,760"
340,BRFS,BRF S.A.,6.34B,4.095,11.74B,13.10%,658.05M,Consumer Staples,Packaged Foods,-1.74B,1.84B,"1,946,122"
341,WIX,Wix.com Ltd.,9.85B,176.8,1.87B,13.04%,166.27M,Technology,Software - Infrastructure,120.22M,551.26M,"652,678"
342,PAYO,Payoneer Global Inc.,2.35B,6.52,1.02B,13.02%,99.82M,Technology,Software - Infrastructure,451.26M,207.72M,"603,695"
343,BDC,Belden Inc.,5.10B,128.65,2.62B,12.93%,225.02M,Technology,Communication Equipment,-1.10B,215.66M,"47,659"
344,EVTC,"EVERTEC, Inc.",2.13B,33.32,886.59M,12.93%,137.91M,Technology,Software - Infrastructure,-663.15M,195.29M,"79,200"
345,ATGE,Adtalem Global Education Inc.,4.83B,134.41,1.79B,12.85%,237.07M,Consumer Staples,Education & Training Services,-574.40M,287.57M,"74,562"
346,BRC,Brady Corporation,3.76B,79.77,1.51B,12.84%,188.51M,Industrials,Security & Protection Services,15.78M,153.62M,"26,395"
347,LEU,Centrus Energy Corp.,4.20B,230.55,436.90M,12.72%,104.80M,Energy,Uranium,403.20M,106.60M,"734,286"
348,DSGX,The Descartes Systems Group Inc.,8.80B,101.77,684.78M,12.69%,148.19M,Technology,Software - Application,232.66M,231.31M,"114,277"
349,DRVN,Driven Brands Holdings Inc.,2.89B,17.6,2.41B,12.67%,-268.46M,Consumer Discretionary,Auto & Truck Dealerships,-2.74B,29.54M,"250,363"
350,DY,"Dycom Industries, Inc.",7.26B,250.91,4.99B,12.61%,260.99M,Industrials,Engineering & Construction,-1.11B,123.23M,"62,097"
351,PLNT,"Planet Fitness, Inc.",8.42B,100.01,1.17B,12.54%,188.98M,Consumer Discretionary,Leisure,-2.11B,204.30M,"359,857"
352,FULT,Fulton Financial Corporation,3.41B,18.71,1.21B,12.50%,313.76M,Financials,Banks - Regional,-1.05B,145.97M,"292,439"
353,PEGA,Pegasystems Inc.,9.94B,58.12,1.68B,12.47%,220.20M,Technology,Software - Application,332.55M,406.31M,"424,416"
354,CRVL,CorVel Corporation,4.19B,81.58,918.58M,12.46%,100.82M,Financials,Insurance Brokers,174.61M,98.34M,"30,883"
355,NFG,National Fuel Gas Company,7.88B,87.21,2.18B,12.45%,243.54M,Energy,Oil & Gas Integrated,-2.70B,185.87M,"68,576"
356,HGV,Hilton Grand Vacations Inc.,3.97B,45.02,4.48B,12.43%,57.00M,Consumer Discretionary,Resorts & Casinos,-6.88B,241.00M,"140,050"
357,MLCO,Melco Resorts & Entertainment Limited,3.75B,9.6,4.93B,12.41%,56.71M,Consumer Discretionary,Resorts & Casinos,-6.34B,-,"681,498"
358,KBR,"KBR, Inc.",6.22B,48.25,8.05B,12.31%,364.00M,Industrials,Engineering & Construction,-2.41B,413.00M,"175,403"
359,SIGI,"Selective Insurance Group, Inc.",4.69B,77.15,5.11B,12.30%,374.45M,Financials,Insurance - Property & Casualty,-902.39M,1.13B,"85,224"
360,CSW,"CSW Industrials, Inc.",4.13B,245.58,915.77M,12.27%,138.99M,Industrials,Specialty Industrial Machinery,-135.99M,150.28M,"25,209"
361,WTM,"White Mountains Insurance Group, Ltd.",4.35B,"1,710.16",2.58B,12.16%,202.80M,Financials,Insurance - Property & Casualty,-456.30M,470.80M,"8,568"
362,DNN,Denison Mines Corp.,2.29B,2.505,3.31M,12.14%,-63.28M,Energy,Uranium,69.09M,-55.44M,"34,596,125"
363,PRVA,"Privia Health Group, Inc.",2.72B,22.17,1.90B,12.05%,14.84M,Healthcare,Health Information Services,383.48M,91.86M,"129,422"
364,SGRY,"Surgery Partners, Inc.",2.75B,21.63,3.24B,12.05%,-180.40M,Healthcare,Medical Care Facilities,-3.64B,175.30M,"595,025"
365,TPC,Tutor Perini Corporation,3.35B,63.47,4.77B,12.03%,-132.32M,Industrials,Engineering & Construction,46.56M,564.41M,"107,605"
366,CUZ,Cousins Properties Incorporated,4.89B,29.12,917.94M,11.98%,60.21M,Real Estate,REIT - Office,-3.11B,-,"389,091"
367,APA,APA Corporation,8.72B,24.37,9.80B,11.98%,1.08B,Energy,Oil & Gas Exploration & Production,-4.45B,1.57B,"3,033,854"
368,SYNA,Synaptics Incorporated,2.76B,71.48,1.07B,11.98%,-47.80M,Technology,Semiconductors,-430.40M,116.20M,"244,858"
369,COCO,"The Vita Coco Company, Inc.",2.24B,39.5,559.88M,11.97%,64.41M,Consumer Staples,Beverages - Non-Alcoholic,152.27M,26.19M,"177,600"
370,WTFC,Wintrust Financial Corporation,8.84B,132,2.48B,11.93%,711.97M,Financials,Banks - Regional,996.16M,832.12M,"89,421"
