No.,Symbol,Company Name,Market Cap,Stock Price,Revenue,Rev. Growth,Net Income,Sector,Industry,Net Cash,FCF,Volume
186,GSHD,"Goosehead Insurance, Inc",3.01B,80.64,340.76M,23.70%,29.91M,Financials,Insurance Brokers,-258.67M,82.15M,616020
187,RIG,Transocean Ltd.,3.27B,3.47,3.79B,23.26%,-1.50B,Energy,Oil & Gas Drilling,-6.17B,383.00M,"27,081,707"
188,CFLT,"Confluent, Inc.",6.73B,19.53,1.06B,23.02%,-311.72M,Technology,Software - Infrastructure,832.87M,38.56M,"5,870,458"
189,WING,Wingstop Inc.,7.29B,261.14,669.74M,22.74%,171.51M,Consumer Discretionary,Restaurants,-1.04B,55.80M,759285
190,WSBC,"WesBanco, Inc.",2.97B,30.91,690.81M,22.65%,125.20M,Financials,Banks - Regional,-1.06B,187.27M,397924
191,ESE,ESCO Technologies Inc.,5.43B,210.37,1.12B,22.39%,114.83M,Technology,Scientific & Technical Instruments,-512.46M,163.27M,169450
192,GXO,"GXO Logistics, Inc.",5.82B,50.84,12.68B,22.39%,63.00M,Industrials,Integrated Freight & Logistics,-5.42B,93.00M,748628
193,IRTC,"iRhythm Technologies, Inc.",5.60B,174.4,657.23M,22.37%,-92.43M,Healthcare,Medical Devices,-189.20M,27.88M,272285
194,SMTC,Semtech Corporation,5.43B,62.55,996.48M,22.22%,23.84M,Technology,Semiconductors,-377.39M,127.64M,"1,571,535"
195,TRNO,Terreno Realty Corporation,6.05B,58.6,426.00M,22.17%,253.06M,Real Estate,REIT - Industrial,-617.82M,-,733252
196,BRZE,"Braze, Inc.",3.46B,31.14,654.62M,22.16%,-108.79M,Technology,Software - Application,279.18M,30.93M,"2,629,490"
197,INSP,"Inspire Medical Systems, Inc.",2.39B,80.8,861.31M,22.05%,53.12M,Healthcare,Medical Devices,267.84M,85.01M,708369
198,DLO,DLocal Limited,4.31B,14.64,863.48M,22.02%,145.90M,Technology,Software - Infrastructure,509.81M,116.37M,"4,095,334"
199,USLM,"United States Lime & Minerals, Inc.",3.69B,129.04,352.26M,21.97%,125.29M,Materials,Building Materials,315.43M,106.80M,"94,004"
200,FROG,JFrog Ltd.,5.59B,47.86,474.76M,21.97%,-86.32M,Technology,Software - Application,597.86M,138.79M,"2,052,235"
201,ENVA,"Enova International, Inc.",3.03B,121.13,1.36B,21.96%,256.20M,Financials,Credit Services,-3.93B,1.62B,684310
202,EAT,"Brinker International, Inc.",6.42B,144.19,5.38B,21.95%,383.10M,Consumer Discretionary,Restaurants,-1.67B,413.70M,"1,761,223"
203,ECG,"Everus Construction Group, Inc.",4.03B,78.97,3.27B,21.87%,165.75M,Industrials,Engineering & Construction,-278.30M,128.71M,250469
204,IDCC,"InterDigital, Inc.",8.35B,323.54,892.58M,21.83%,463.47M,Technology,Software - Application,449.38M,334.87M,208750
205,AKO.A,Embotelladora Andina S.A.,3.55B,19.3,3.60B,21.71%,271.28M,Consumer Staples,Beverages - Non-Alcoholic,-973.93M,117.51M,313
206,AKO.B,Embotelladora Andina S.A.,3.55B,24.6,3.60B,21.71%,271.28M,Consumer Staples,Beverages - Non-Alcoholic,-973.93M,117.46M,"18,663"
207,CVLT,"Commvault Systems, Inc.",8.43B,189.67,1.05B,21.62%,81.08M,Technology,Software - Application,332.32M,189.60M,638423
208,PNFP,"Pinnacle Financial Partners, Inc.",7.28B,94.65,1.81B,21.56%,581.71M,Financials,Banks - Regional,621.99M,772.58M,"1,231,067"
209,VITL,"Vital Farms, Inc.",2.10B,47.05,657.95M,21.49%,51.57M,Consumer Staples,Farm Products,137.41M,-2.47M,817263
210,NNI,"Nelnet, Inc.",4.50B,124.31,1.56B,21.39%,329.57M,Financials,Credit Services,-7.68B,496.37M,"62,722"
211,HG,"Hamilton Insurance Group, Ltd.",2.35B,23.47,2.60B,21.31%,380.46M,Financials,Insurance - Reinsurance,835.96M,697.98M,272424
212,AVAL,Grupo Aval Acciones y Valores S.A.,3.95B,3.25,3.20B,21.28%,380.42M,Financials,Banks - Regional,-6.65B,-3.02B,"70,193"
213,COMP,"Compass, Inc.",4.87B,9.26,6.29B,21.23%,-53.50M,Real Estate,Real Estate Services,-369.40M,147.00M,"4,001,933"
214,KNSL,"Kinsale Capital Group, Inc.",9.98B,428.3,1.72B,21.12%,446.67M,Financials,Insurance - Property & Casualty,-46.16M,940.11M,171762
215,MNSO,MINISO Group Holding Limited,7.58B,24.81,2.60B,21.03%,328.53M,Consumer Discretionary,Specialty Retail,-404.36M,139.76M,476954
216,NJR,New Jersey Resources Corporation,4.63B,46.05,2.10B,21.02%,411.68M,Utilities,Utilities - Regulated Gas,-3.56B,-117.61M,709994
217,BGC,"BGC Group, Inc.",4.63B,9.76,2.47B,20.94%,146.62M,Financials,Capital Markets,-1.11B,384.89M,"1,747,806"
218,VCTR,"Victory Capital Holdings, Inc.",4.56B,68.35,1.03B,20.90%,264.62M,Financials,Asset Management,-905.81M,263.06M,577794
219,COMM,"CommScope Holding Company, Inc.",3.62B,16.36,4.75B,20.87%,722.60M,Technology,Communication Equipment,-6.82B,248.10M,"3,341,177"
220,CRK,"Comstock Resources, Inc.",5.00B,17.07,1.65B,20.80%,-72.56M,Energy,Oil & Gas Exploration & Production,-3.08B,-264.06M,"2,670,025"
221,SPSC,"SPS Commerce, Inc.",4.09B,107.93,703.54M,20.51%,82.95M,Technology,Software - Application,96.81M,141.93M,340290
222,CLBT,Cellebrite DI Ltd.,4.22B,17.27,436.73M,20.48%,-150.95M,Technology,Software - Infrastructure,535.51M,150.13M,"1,392,669"
223,SKYW,"SkyWest, Inc.",4.20B,104.13,3.84B,20.45%,407.91M,Industrials,Airlines,-1.85B,253.42M,385246
224,OTF,Blue Owl Technology Finance Corp.,7.19B,15.4,839.89M,20.40%,499.86M,Financials,Asset Management,-4.58B,-,"1,314,084"
225,HMY,Harmony Gold Mining Company Limited,9.36B,14.99,4.16B,20.39%,810.06M,Materials,Gold,612.28M,623.07M,"6,998,669"
226,CWST,"Casella Waste Systems, Inc.",5.64B,88.8,1.72B,20.35%,11.05M,Industrials,Waste Management,-1.02B,91.02M,515213
227,KC,Kingsoft Cloud Holdings Limited,4.46B,16.06,1.18B,20.27%,-282.74M,Technology,Software - Application,-834.86M,-257.30M,"1,979,715"
228,DFH,"Dream Finders Homes, Inc.",2.64B,28.47,4.71B,20.19%,297.89M,Consumer Discretionary,Residential Construction,-1.37B,-46.64M,310033
229,XMTR,"Xometry, Inc.",2.60B,51.16,603.76M,20.19%,-61.60M,Industrials,Specialty Industrial Machinery,-109.13M,-20.48M,719450
230,APLS,"Apellis Pharmaceuticals, Inc.",3.01B,23.82,754.65M,20.02%,-228.17M,Healthcare,Biotechnology,-94.99M,4.41M,"3,465,287"
231,REZI,"Resideo Technologies, Inc.",5.89B,39.6,7.40B,20.00%,-816.00M,Industrials,Industrial Distribution,-1.52B,390.00M,"3,569,849"
232,LYFT,"Lyft, Inc.",8.21B,20.19,6.11B,19.94%,92.19M,Technology,Software - Application,982.94M,992.97M,"25,675,041"
233,RRC,Range Resources Corporation,8.55B,35.89,2.80B,19.93%,478.65M,Energy,Oil & Gas Exploration & Production,-1.38B,506.19M,"4,124,511"
234,VCYT,"Veracyte, Inc.",2.54B,32.28,479.13M,19.91%,26.34M,Healthcare,Diagnostics & Research,270.07M,83.97M,523440
235,AIR,AAR Corp.,2.68B,75.75,2.78B,19.91%,12.50M,Industrials,Aerospace & Defense,-963.40M,1.40M,424467
236,YOU,"Clear Secure, Inc.",5.02B,37.8,835.53M,19.85%,176.88M,Technology,Software - Application,490.72M,305.14M,"1,881,208"
237,CCU,Compañía Cervecerías Unidas S.A.,2.25B,12.22,3.25B,19.82%,161.33M,Consumer Staples,Beverages - Brewers,-751.74M,174.05M,"70,377"
238,WULF,TeraWulf Inc.,4.46B,10.94,144.09M,19.82%,-131.72M,Financials,Capital Markets,-410.89M,-449.96M,"37,000,891"
239,FRSH,Freshworks Inc.,3.66B,12.56,782.10M,19.78%,-54.90M,Technology,Software - Application,890.17M,192.46M,"2,490,707"
240,STNE,StoneCo Ltd.,5.04B,18.83,2.53B,19.78%,-232.60M,Technology,Software - Infrastructure,-1.57B,-77.26M,"6,291,644"
241,GPI,"Group 1 Automotive, Inc.",5.81B,458.23,21.98B,19.75%,473.20M,Consumer Discretionary,Auto & Truck Dealerships,-5.41B,750.00M,175468
242,KNTK,Kinetik Holdings Inc.,6.93B,42.79,1.65B,19.71%,44.52M,Energy,Oil & Gas Midstream,-4.00B,296.00M,652403
243,CHRD,Chord Energy Corporation,6.05B,106.42,4.97B,19.70%,265.66M,Energy,Oil & Gas Exploration & Production,-916.00M,961.63M,"1,674,439"
244,MIAX,"Miami International Holdings, Inc.",3.28B,38.02,1.26B,19.63%,1.79M,Financials,Financial Data & Stock Exchanges,43.41M,19.23M,358417
245,APPF,"AppFolio, Inc.",9.90B,276.26,862.67M,19.47%,203.11M,Technology,Software - Application,87.92M,184.38M,164596
246,AA,Alcoa Corporation,8.67B,33.48,12.78B,19.39%,989.00M,Materials,Aluminum,-1.14B,582.00M,"5,919,942"
247,SRAD,Sportradar Group AG,9.04B,30.24,1.40B,19.37%,128.74M,Technology,Software - Application,304.50M,468.32M,"1,481,717"
248,FRPT,"Freshpet, Inc.",2.64B,54.03,1.04B,19.30%,33.68M,Consumer Staples,Packaged Foods,-251.47M,-7.07M,"1,849,077"
249,GEF,"Greif, Inc.",2.87B,60.38,5.43B,19.22%,190.00M,Consumer Discretionary,Packaging & Containers,-2.65B,334.90M,214818
250,GEF.B,"Greif, Inc.",2.95B,62.31,5.43B,19.22%,190.00M,Consumer Discretionary,Packaging & Containers,-2.65B,334.90M,"11,756"
251,WK,Workiva Inc.,4.43B,79.16,806.98M,19.02%,-66.58M,Technology,Software - Application,20.00M,103.02M,816104
252,CPK,Chesapeake Utilities Corporation,2.89B,122.73,866.70M,18.91%,129.00M,Utilities,Utilities - Regulated Gas,-1.53B,-200.00M,193663
253,VAL,Valaris Limited,3.77B,52.99,2.46B,18.78%,275.50M,Energy,Oil & Gas Equipment & Services,-666.40M,232.50M,975479
254,ELF,"e.l.f. Beauty, Inc.",8.50B,143.28,1.34B,18.61%,97.85M,Consumer Staples,Household & Personal Products,-144.76M,134.96M,"1,783,027"
255,PJT,PJT Partners Inc.,7.43B,180.5,1.54B,18.48%,160.37M,Financials,Capital Markets,-200.04M,474.82M,"95,428"
256,SFBS,"ServisFirst Bancshares, Inc.",4.55B,83.36,488.39M,18.16%,249.67M,Financials,Banks - Regional,-1.20B,261.14M,245665
257,MMYT,MakeMyTrip Limited,9.17B,96.39,992.66M,18.13%,100.00M,Consumer Discretionary,Travel Services,-559.75M,150.33M,"1,493,604"
258,AGYS,"Agilysys, Inc.",3.00B,107.6,288.79M,17.91%,14.01M,Technology,Software - Application,21.66M,47.14M,206137
259,LRN,"Stride, Inc.",6.00B,139.31,2.41B,17.90%,287.94M,Consumer Staples,Education & Training Services,461.61M,431.04M,"1,585,826"
260,HGTY,"Hagerty, Inc.",4.24B,12.41,1.30B,17.90%,18.45M,Financials,Insurance - Property & Casualty,58.56M,131.53M,181655
261,VNET,"VNET Group, Inc.",2.58B,9.59,1.26B,17.85%,5.86M,Technology,Information Technology Services,-2.87B,-228.34M,"6,463,535"
262,IESC,"IES Holdings, Inc.",7.28B,366.88,3.25B,17.84%,264.63M,Industrials,Engineering & Construction,95.59M,185.34M,102478
263,BIRK,Birkenstock Holding plc,8.40B,45.66,2.38B,17.60%,360.45M,Consumer Discretionary,Footwear & Accessories,-1.30B,359.47M,"3,276,955"
264,MQ,"Marqeta, Inc.",2.60B,5.79,553.22M,17.47%,-64.67M,Technology,Software - Infrastructure,814.85M,52.74M,"2,195,802"
265,GMED,"Globus Medical, Inc.",7.81B,57.84,2.63B,17.44%,356.65M,Healthcare,Medical Devices,108.04M,527.43M,869085
266,ESTC,Elastic N.V.,9.20B,86.54,1.55B,17.43%,-83.49M,Technology,Software - Application,900.17M,314.00M,"1,550,750"
267,NMRK,"Newmark Group, Inc.",4.55B,18.87,2.98B,17.28%,75.26M,Real Estate,Real Estate Services,-2.56B,-268.96M,"1,090,905"
268,LTH,"Life Time Group Holdings, Inc.",6.17B,28.03,2.82B,17.25%,226.76M,Consumer Discretionary,Leisure,-3.91B,105.93M,"3,280,363"
269,RNST,Renasant Corporation,3.56B,37.5,735.58M,17.23%,159.74M,Financials,Banks - Regional,420.71M,120.44M,372843
270,WAY,Waystar Holding Corp.,6.66B,38.25,1.01B,17.15%,85.95M,Healthcare,Health Information Services,-914.93M,278.56M,"3,861,583"
271,INTA,"Intapp, Inc.",3.66B,44.59,504.12M,17.10%,-18.22M,Technology,Software - Application,290.52M,121.86M,660351
272,OPCH,"Option Care Health, Inc.",4.47B,27.56,5.37B,17.07%,211.25M,Healthcare,Medical Care Facilities,-1.02B,241.17M,"1,976,947"
273,TGLS,Tecnoglass Inc.,3.29B,70.04,955.73M,16.89%,182.82M,Materials,Building Materials,13.14M,55.03M,573580
274,SKY,"Champion Homes, Inc.",4.41B,77.97,2.56B,16.87%,217.31M,Consumer Discretionary,Residential Construction,477.54M,182.82M,"1,156,650"
275,BUSE,First Busey Corporation,2.17B,24.33,498.53M,16.77%,77.37M,Financials,Banks - Regional,274.38M,162.25M,483288
276,BOOT,"Boot Barn Holdings, Inc.",5.49B,179.55,1.99B,16.70%,195.44M,Consumer Discretionary,Apparel Retail,-501.83M,27.39M,394860
277,FSV,FirstService Corporation,9.31B,202.67,5.43B,16.68%,141.91M,Real Estate,Real Estate Services,-1.35B,246.40M,"94,167"
278,CIGI,Colliers International Group Inc.,8.46B,165.65,5.17B,16.63%,112.09M,Real Estate,Real Estate Services,-2.08B,215.71M,"77,198"
279,CVCO,"Cavco Industries, Inc.",4.43B,559.91,2.09B,16.60%,188.25M,Consumer Discretionary,Residential Construction,324.63M,161.04M,339108
280,RITM,Rithm Capital Corp.,6.40B,12.07,3.67B,16.60%,680.67M,Real Estate,REIT - Mortgage,-30.16B,-,"11,847,203"
281,DV,"DoubleVerify Holdings, Inc.",2.12B,12.93,714.26M,16.54%,52.72M,Technology,Software - Application,113.16M,149.88M,"3,782,335"
282,ZK,ZEEKR Intelligent Technology Holding Limited,7.65B,29.88,10.60B,16.47%,-1.42B,Consumer Discretionary,Auto Manufacturers,-1.43B,-,530165
283,FFIN,"First Financial Bankshares, Inc.",4.98B,35.03,578.40M,16.40%,245.63M,Financials,Banks - Regional,227.80M,290.77M,472861
284,ENSG,"The Ensign Group, Inc.",9.41B,164.34,4.61B,16.31%,322.80M,Healthcare,Medical Care Facilities,-1.62B,137.54M,300915
285,BRBR,"BellRing Brands, Inc.",4.63B,36.75,2.22B,16.27%,228.30M,Consumer Staples,Packaged Foods,-969.10M,126.70M,"2,613,509"
286,MTDR,Matador Resources Company,5.97B,47.98,3.50B,16.16%,853.13M,Energy,Oil & Gas Exploration & Production,-3.37B,441.06M,"2,027,026"
287,SARO,"StandardAero, Inc.",9.13B,27.31,5.62B,16.09%,133.04M,Industrials,Aerospace & Defense,-2.47B,-31.72M,"1,310,366"
288,JHG,Janus Henderson Group plc,6.93B,44.4,2.59B,16.06%,409.70M,Financials,Asset Management,1.96B,603.50M,989894
289,IONS,"Ionis Pharmaceuticals, Inc.",9.77B,61.32,944.05M,16.05%,-268.22M,Healthcare,Biotechnology,308.97M,-290.00M,"1,787,600"
290,OGE,OGE Energy Corp.,8.79B,43.64,3.22B,16.01%,490.80M,Utilities,Utilities - Regulated Electric,-5.90B,-232.70M,999759
291,PRDO,Perdoceo Education Corporation,2.28B,35.13,768.84M,15.99%,154.44M,Consumer Staples,Education & Training Services,513.45M,205.39M,496301
292,AWI,"Armstrong World Industries, Inc.",8.44B,195.05,1.56B,15.59%,296.00M,Industrials,Building Products & Equipment,-484.60M,218.50M,272277
293,MOH,"Molina Healthcare, Inc.",9.56B,176.45,41.70B,15.57%,1.13B,Healthcare,Healthcare Plans,936.00M,427.00M,861621
294,GCMG,GCM Grosvenor Inc.,2.52B,12.95,533.10M,15.56%,27.67M,Financials,Asset Management,-358.92M,172.08M,487182
295,ONTO,Onto Innovation Inc.,5.91B,120.58,1.04B,15.51%,199.87M,Technology,Semiconductor Equipment & Materials,881.53M,238.49M,"2,451,121"
296,HQY,"HealthEquity, Inc.",7.89B,91.54,1.27B,15.45%,145.84M,Healthcare,Health Information Services,-750.56M,365.42M,798179
297,CENX,Century Aluminum Company,2.43B,26.05,2.43B,15.38%,111.40M,Materials,Aluminum,-448.10M,-21.80M,"1,161,625"
298,EXLS,"ExlService Holdings, Inc.",6.84B,42.33,1.97B,15.15%,236.32M,Technology,Information Technology Services,10.31M,277.81M,"1,550,578"
299,PRIM,Primoris Services Corporation,6.51B,120.44,6.93B,15.08%,240.96M,Industrials,Engineering & Construction,-681.23M,499.71M,918357
300,WD,"Walker & Dunlop, Inc.",2.89B,84.89,1.11B,15.06%,107.84M,Financials,Mortgage Finance,-1.75B,-202.85M,187426
301,VERX,"Vertex, Inc.",4.07B,25.52,710.51M,15.00%,-50.41M,Technology,Software - Application,-67.51M,64.41M,"2,118,860"
302,MCY,Mercury General Corporation,4.30B,77.64,5.77B,14.93%,390.07M,Financials,Insurance - Property & Casualty,532.08M,817.53M,213680
303,GSAT,"Globalstar, Inc.",4.06B,32.09,260.66M,14.85%,-49.01M,Communication Services,Telecom Services,-234.69M,134.10M,"1,091,209"
304,BXSL,Blackstone Secured Lending Fund,6.34B,27.54,1.40B,14.70%,619.01M,Financials,Asset Management,-6.82B,-,"2,542,440"
305,CWEN,"Clearway Energy, Inc.",3.32B,28.07,1.43B,14.65%,76.00M,Utilities,Utilities - Renewable,-9.10B,562.00M,910206
306,PAGS,PagSeguro Digital Ltd.,3.13B,10.74,3.54B,14.53%,402.30M,Technology,Software - Infrastructure,-370.48M,207.24M,"10,988,471"
307,NBTB,NBT Bancorp Inc.,2.21B,42.27,591.28M,14.42%,133.36M,Financials,Banks - Regional,130.38M,175.82M,152358
308,ACAD,ACADIA Pharmaceuticals Inc.,4.04B,23.96,1.02B,14.41%,222.16M,Healthcare,Biotechnology,705.70M,187.09M,"1,994,208"
309,AI,"C3.ai, Inc.",2.41B,17.5,372.10M,14.34%,-342.64M,Technology,Software - Infrastructure,649.33M,-85.86M,"9,293,360"
310,POWL,"Powell Industries, Inc.",3.60B,298.23,1.08B,14.32%,175.38M,Industrials,Electrical Equipment & Parts,431.82M,81.04M,315977
311,VRNS,"Varonis Systems, Inc.",6.40B,57.16,595.17M,14.29%,-102.93M,Technology,Software - Infrastructure,417.99M,124.81M,"2,346,229"
312,TTMI,"TTM Technologies, Inc.",5.19B,50.27,2.65B,14.24%,93.19M,Technology,Electronic Components,-578.54M,17.64M,"1,947,316"
313,SMPL,The Simply Good Foods Company,2.71B,27,1.46B,14.23%,145.26M,Consumer Staples,Packaged Foods,-206.73M,175.62M,"1,905,544"
314,ORI,Old Republic International Corporation,9.54B,39.2,8.67B,14.20%,893.60M,Financials,Insurance - Property & Casualty,-1.41B,-,"1,270,797"
315,EVCM,EverCommerce Inc.,2.12B,11.72,710.68M,14.16%,-20.95M,Technology,Software - Infrastructure,-394.53M,132.19M,184343
316,LMAT,"LeMaitre Vascular, Inc.",2.09B,92.45,234.64M,14.11%,47.12M,Healthcare,Medical Instruments & Supplies,133.60M,52.32M,148665
317,WRBY,Warby Parker Inc.,3.31B,27.14,821.35M,14.09%,-9.23M,Healthcare,Medical Instruments & Supplies,58.01M,52.37M,"1,645,023"
318,TBC,"The Bancorp, Inc.",4.34B,82.43,584.58M,14.08%,209.70M,Financials,Banks - Regional,-661.16M,231.25M,272990
